,Channel,subscribers
0,TEDx Talks,35.8M
1,TEDx Talks,35.8M
2,TED,21.6M
3,Sabbatical,300K
4,Learn German with GermanPod101.com,677K
5,TEDx Talks,35.8M
6,R.C. Waldun,235K
7,TEDx Talks,35.8M
8,Lindie Botes,309K
9,Olly Richards,248K
10,Elysse Speaks,79.2K
11,Learn English with EnglishClass101.com,6.83M
12,Rafipuff,276K
13,Steve Kaufmann - lingosteve,577K
14,TEDx Talks,35.8M
15,Language Simp,412K
16,Steve Kaufmann - lingosteve,577K
17,Zoe.languages,141K
18,Poly-glot-a-lot,69K
19,Lindie Botes,309K
20,Johnny Harris,2.84M
21,Big Think,4.04M
22,Easy Spanish,233K
23,KidsCamp - Education,3.87M
24,Ikenna,855K
25,Steve Kaufmann - lingosteve,577K
26,Olly Richards,248K
27,Songs for Littles - Toddler Learning Videos,1.1M
28,What I've Learned,2.02M
29,Lindie Botes,309K
30,Bella,123K
31,Phoenix Hou,89.2K
32,Let's Begin English,80
33,Elysse Speaks,79.2K
34,Becoming a Missionary.,7
35,Bengal Tiger A H,36.9K
36,Jing Jing,603
37,Profesora Delgadillo,672
38,Olivia_Writes_Books,7
39,English With Hindi,1.6K
40,CHAIGAR SHIKARI Official,5.01K
41,English With Hindi,1.6K
42,Umran Green Perspective Foundation,262
43,Afro English Language Academy,238
44,Learn English Accent,40.3K
45,English Speaking Practice,1.01K
46,Arabic language Bangla,553
47,EON Reality,5.87K
48,Hello Menellia,386
49,Samuel is language learning,6
50,Nathaniel Drew,1.59M
51,Olly Richards,248K
52,Olly Richards,248K
53,Xiaomanyc 小马在纽约,5.02M
54,The Bliss Bean,281K
55,TEDx Talks,35.8M
56,Language Simp,412K
57,TEDx Talks,35.8M
58,Ruri Ohama,520K
59,Zoe.languages,141K
60,anna lenks,305K
61,anna lenks,305K
62,Days of French 'n' Swedish,54.7K
63,Zoe.languages,141K
64,Olly Richards,248K
65,Language Learners Español,26.8K
66,Language Learners Español,26.8K
67,cafe.studyy,255K
68,anna lenks,305K
69,Ikenna,855K
70,Robin MacPherson,70.5K
71,Oriental Pearl,638K
72,Steve Kaufmann - lingosteve,577K
73,Xiaomanyc 小马在纽约,5.02M
74,What I've Learned,2.02M
75,Ikenna,855K
76,Xiaomanyc 小马在纽约,5.02M
77,Dalibor Truhlar,122K
78,Elysse Speaks,79.2K
79,Ikenna,855K
80,Steve Kaufmann - lingosteve,577K
81,Faline San,1.11M
82,LetThemTalkTV,481K
83,Natalia Garza,98.8K
84,TEDx Talks,35.8M
85,Zoe.languages,141K
86,Robin MacPherson,70.5K
87,Girl vs Globe,138K
88,Luca Lampariello,210K
89,Lois Lin,1.07K
90,Két Két Store,1.05K
91,Steve Kaufmann - lingosteve,577K
92,Monce Perez,2.17K
93,Learning with baby Benn,180
94,Lucy Allan,67.5K
95,Days of French 'n' Swedish,54.7K
96,Langfocus,1.37M
97,Girl vs Globe,138K
98,BBC Learning English,4.37M
99,ColeLangs,22.2K
100,anna lenks,305K
101,English with Cambridge,753K
102,Luca Lampariello,210K
103,TED-Ed,17.2M
104,Language Simp,412K
105,Steve Kaufmann - lingosteve,577K
106,ColeLangs,22.2K
107,The Ling Space,63.1K
108,Red Gregory,36.3K
109,Robin MacPherson,70.5K
110,Seeker+,686K
111,TED,21.6M
112,White Eagle,192K
113,Kyle Brandon,1.47K
114,Lina Vasquez,34K
115,Cambridge University Press ELT,234K
116,Ikenna,855K
117,Global Marissa,1.04K
118,MosaLingua,179K
119,Namanh Kapur,85K
120,Robin MacPherson,70.5K
121,Duolingo,372K
122,Shea Jordan,74.1K
123,Steve Kaufmann - lingosteve,577K
124,Monce Perez,2.17K
125,Steve Kaufmann - lingosteve,577K
126,Phoenix Hou,89.2K
127,Lindie Botes,309K
128,Mark Rounds,4.21K
129,Leafling Learns,1.58K
130,OuinoLanguages,247K
131,anna lenks,305K
132,Beyond Language Learning,1.49K
133,Immerse,450
134,Robin MacPherson,70.5K
135,Learn Arabic Language,65.4K
136,White Eagle,192K
137,Robin MacPherson,70.5K
138,Steve Kaufmann - lingosteve,577K
139,linguamarina,6.45M
140,Steve Kaufmann - lingosteve,577K
141,Days of French 'n' Swedish,54.7K
142,The Hyperpolyglot Activist _Dr. Yebra Lopez,774
143,Lindie Botes,309K
144,Language Learners Español,26.8K
145,Language of Earth,390K
146,Steve Kaufmann - lingosteve,577K
147,Danielle Teacher,484
148,WatchData,1.29M
149,Nathaniel Drew,1.59M
150,Steve Kaufmann - lingosteve,577K
151,Olly Richards,248K
152,LJ Etazla,274
153,Langfocus,1.37M
154,Language Learners Español,26.8K
155,Learn English with Bob the Canadian,1.22M
156,Canguro English,297K
157,Sprouts,1.25M
158,Steve Kaufmann - lingosteve,577K
159,Emuallim,18.7K
160,Anthony Pym,5.9K
161,Language Simp,
162,The Vani Classes,7.53K
163,Steve Kaufmann - lingosteve,577K
164,Elysse Speaks,79.2K
165,Steve Kaufmann - lingosteve,577K
166,Robin MacPherson,70.5K
167,Coffee Break Languages,103K
168,Alexander Arguelles,62K
169,seemile Korean,1.47M
170,Robin MacPherson,70.5K
171,Phoenix Hou,89.2K
172,Coffee Break Languages,103K
173,White Eagle,192K
174,Steve Kaufmann - lingosteve,577K
175,Language Drops,3.14K
176,Steve Kaufmann - lingosteve,577K
